"PSComputerName","ResourceName","InstanceName","InDesiredState","ConfigurationName","StartDate"
"NADE05BIV02","Registry","[V-1172][low][Password Expiration Warning]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1173][low][Global System Objects Permission Strength]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-1174][low][Idle Time Before Suspending a Session.]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-2374][high][Disable Media Autoplay]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3338][high][Anonymous Access to Named Pipes]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3339][high][Remotely Accessible Registry Paths]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3340][high][Anonymous Access to Network Shares]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3343][high][Remote Assistance - Solicit Remote Assistance]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3344][high][Limit Blank Passwords]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3373][low][Maximum Machine Account Password Age]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3374][medium][Strong Session Key]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3376][medium][Storage of Passwords and Credentials]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3377][medium][Everyone Anonymous rights]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3378][medium][Sharing and Security Model for Local Accounts]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3379][high][LAN Manager Hash stored]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3381][medium][LDAP Client Signing]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3382][medium][Session Security for NTLM SSP Based Clients]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:23 PM"
"NADE05BIV02","Registry","[V-3383][medium][FIPS Compliant Algorithms ]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3385][medium][Case Insensitivity for Non-Windows]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3449][medium][TS/RDS -  Session Limit]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3453][medium][TS/RDS - Password Prompting]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3454][medium][TS/RDS - Set Encryption Level]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3455][medium][TS/RDS - Do Not Use Temp Folders]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3456][medium][TS/RDS - Delete Temp Folders]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3470][medium][Remote Assistance - Offer Remote Assistance]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3479][medium][Safe DLL Search Mode]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3480][medium][Media Player - Disable Automatic Updates]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-3666][medium][Session Security for NTLM SSP based Servers]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4108][low][Audit Log Warning Level]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4110][low][Disable IP Source Routing]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4111][low][Disable ICMP Redirect]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4112][low][Disable Router Discovery]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
